[DreamBlog/server]2022/05/15 - 11:24:20.348	[31merror[0m	/mnt/e/coding/go-workspace/DreamBlog/utils/clamins.go:25	从Gin的Context解析token失败
[DreamBlog/server]2022/05/15 - 11:24:27.308	[31merror[0m	/mnt/e/coding/go-workspace/DreamBlog/utils/clamins.go:25	从Gin的Context解析token失败
[DreamBlog/server]2022/05/15 - 14:33:43.635	[31merror[0m	/mnt/e/coding/go-workspace/DreamBlog/initialize/gorm.go:33	自动建表失败	{"error": "invalid field found for struct dream-blog/model/system.BlackRecord's field ID: define a valid foreign key for relations or implement the Valuer/Scanner interface"}
[DreamBlog/server]2022/05/15 - 14:39:58.282	[31merror[0m	/mnt/e/coding/go-workspace/DreamBlog/initialize/gorm.go:33	自动建表失败	{"error": "invalid field found for struct dream-blog/model/system.BlackRecord's field ID: define a valid foreign key for relations or implement the Valuer/Scanner interface"}
[DreamBlog/server]2022/05/15 - 14:44:52.312	[31merror[0m	/mnt/e/coding/go-workspace/DreamBlog/service/system/black_record.go:24	jwt黑名单加载失败	{"error": "Error 1054: Unknown column 'jwt' in 'field list'"}
[DreamBlog/server]2022/05/15 - 14:59:22.118	[31merror[0m	/mnt/e/coding/go-workspace/DreamBlog/service/system/black_record.go:24	jwt黑名单加载失败	{"error": "Error 1054: Unknown column 'jwt' in 'field list'"}
[DreamBlog/server]2022/05/15 - 15:00:26.274	[31merror[0m	/mnt/e/coding/go-workspace/DreamBlog/service/system/black_record.go:24	jwt黑名单加载失败	{"error": "Error 1054: Unknown column 'jwt' in 'field list'"}
[DreamBlog/server]2022/05/15 - 15:01:40.295	[31merror[0m	/mnt/e/coding/go-workspace/DreamBlog/service/system/black_record.go:24	jwt黑名单加载失败	{"error": "Error 1054: Unknown column 'jwt' in 'field list'"}
[DreamBlog/server]2022/05/15 - 15:02:15.209	[31merror[0m	/mnt/e/coding/go-workspace/DreamBlog/service/system/black_record.go:24	jwt黑名单加载失败	{"error": "Error 1054: Unknown column 'jwt' in 'field list'"}
[DreamBlog/server]2022/05/15 - 15:04:01.305	[31merror[0m	/mnt/e/coding/go-workspace/DreamBlog/service/system/black_record.go:24	jwt黑名单加载失败	{"error": "Error 1054: Unknown column 'jwt' in 'field list'"}
[DreamBlog/server]2022/05/15 - 15:05:40.980	[31merror[0m	/mnt/e/coding/go-workspace/DreamBlog/service/system/black_record.go:24	jwt黑名单加载失败	{"error": "Error 1054: Unknown column 'jwt' in 'field list'"}
[DreamBlog/server]2022/05/15 - 15:10:55.337	[31merror[0m	/mnt/e/coding/go-workspace/DreamBlog/service/system/black_record.go:24	jwt黑名单加载失败	{"error": "Error 1054: Unknown column 'jwt' in 'field list'"}
[DreamBlog/server]2022/05/15 - 15:13:24.463	[31merror[0m	/mnt/e/coding/go-workspace/DreamBlog/service/system/black_record.go:24	jwt黑名单加载失败	{"error": "Error 1054: Unknown column 'jwt' in 'field list'"}
[DreamBlog/server]2022/05/15 - 15:13:58.693	[31merror[0m	/mnt/e/coding/go-workspace/DreamBlog/initialize/gorm.go:33	自动建表失败	{"error": "Error 1067: Invalid default value for 'last_login_time'"}
